# Force coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.03413075e-01
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e+00
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cs              	Cl              	CmRoll          	CmPitch         	CmYaw           	Cd(f)           	Cd(r)           	Cs(f)           	Cs(r)           	Cl(f)           	Cl(r)           
95              	9.31950278e-02	5.05926498e-19	-7.31119426e-01	3.65559713e-01	3.27856995e-01	4.65975139e-02	4.12157227e-01	-3.18962199e-01	4.65975139e-02	-4.65975139e-02	-3.77027179e-02	-6.93416709e-01
96              	9.31668546e-02	5.05845418e-19	-7.31304068e-01	3.65652034e-01	3.28090444e-01	4.65834273e-02	4.12235461e-01	-3.19068607e-01	4.65834273e-02	-4.65834273e-02	-3.75615905e-02	-6.93742478e-01
97              	9.31237173e-02	5.05765481e-19	-7.31595776e-01	3.65797888e-01	3.28330481e-01	4.65618586e-02	4.12359747e-01	-3.19236030e-01	4.65618586e-02	-4.65618586e-02	-3.74674068e-02	-6.94128369e-01
98              	9.30361565e-02	5.05688313e-19	-7.31915031e-01	3.65957515e-01	3.28519833e-01	4.65180782e-02	4.12475594e-01	-3.19439437e-01	4.65180782e-02	-4.65180782e-02	-3.74376826e-02	-6.94477348e-01
99              	9.29185083e-02	5.05611136e-19	-7.32223865e-01	3.66111933e-01	3.28655425e-01	4.64592542e-02	4.12571187e-01	-3.19652678e-01	4.64592542e-02	-4.64592542e-02	-3.74565075e-02	-6.94767358e-01
100             	9.27685384e-02	5.05534006e-19	-7.32464067e-01	3.66232033e-01	3.28746565e-01	4.63842692e-02	4.12616302e-01	-3.19847764e-01	4.63842692e-02	-4.63842692e-02	-3.74854687e-02	-6.94978598e-01
101             	9.26056119e-02	5.05451216e-19	-7.32582200e-01	3.66291100e-01	3.28805472e-01	4.63028060e-02	4.12593906e-01	-3.19988294e-01	4.63028060e-02	-4.63028060e-02	-3.74856276e-02	-6.95096572e-01
102             	9.24536962e-02	5.05368001e-19	-7.32752486e-01	3.66376243e-01	3.28911706e-01	4.62268481e-02	4.12603091e-01	-3.20149395e-01	4.62268481e-02	-4.62268481e-02	-3.74645370e-02	-6.95287949e-01
103             	9.23164522e-02	5.05282032e-19	-7.32819840e-01	3.66409920e-01	3.29011282e-01	4.61582261e-02	4.12568146e-01	-3.20251694e-01	4.61582261e-02	-4.61582261e-02	-3.73986374e-02	-6.95421202e-01
104             	9.21838688e-02	5.05195839e-19	-7.32727337e-01	3.66363669e-01	3.29065761e-01	4.60919344e-02	4.12455603e-01	-3.20271734e-01	4.60919344e-02	-4.60919344e-02	-3.72979073e-02	-6.95429430e-01
105             	9.20560747e-02	5.05115353e-19	-7.32414765e-01	3.66207382e-01	3.29050303e-01	4.60280373e-02	4.12235420e-01	-3.20179345e-01	4.60280373e-02	-4.60280373e-02	-3.71570793e-02	-6.95257685e-01
