# Force coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.03413075e-01
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e+00
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cs              	Cl              	CmRoll          	CmPitch         	CmYaw           	Cd(f)           	Cd(r)           	Cs(f)           	Cs(r)           	Cl(f)           	Cl(r)           
154             	5.47613036e-02	7.06874267e-18	-6.38158964e-01	3.19079482e-01	2.99831750e-01	2.73806518e-02	3.46460134e-01	-2.91698830e-01	2.73806518e-02	-2.73806518e-02	-1.92477319e-02	-6.18911232e-01
155             	5.47248482e-02	7.06874599e-18	-6.39404646e-01	3.19702323e-01	3.00092379e-01	2.73624241e-02	3.47064747e-01	-2.92339899e-01	2.73624241e-02	-2.73624241e-02	-1.96099439e-02	-6.19794702e-01
156             	5.46875568e-02	7.06874398e-18	-6.40646516e-01	3.20323258e-01	3.00357933e-01	2.73437784e-02	3.47667036e-01	-2.92979480e-01	2.73437784e-02	-2.73437784e-02	-1.99653248e-02	-6.20681191e-01
157             	5.46501644e-02	7.06873545e-18	-6.41884957e-01	3.20942479e-01	3.00627498e-01	2.73250822e-02	3.48267561e-01	-2.93617396e-01	2.73250822e-02	-2.73250822e-02	-2.03149809e-02	-6.21569976e-01
158             	5.46126982e-02	7.06872087e-18	-6.43111020e-01	3.21555510e-01	3.00897727e-01	2.73063491e-02	3.48861859e-01	-2.94249161e-01	2.73063491e-02	-2.73063491e-02	-2.06577832e-02	-6.22453236e-01
159             	5.45765408e-02	7.06869912e-18	-6.44328375e-01	3.22164187e-01	3.01170083e-01	2.72882704e-02	3.49452458e-01	-2.94875917e-01	2.72882704e-02	-2.72882704e-02	-2.09941043e-02	-6.23334270e-01
160             	5.45405563e-02	7.06867208e-18	-6.45538608e-01	3.22769304e-01	3.01445921e-01	2.72702781e-02	3.50039582e-01	-2.95499026e-01	2.72702781e-02	-2.72702781e-02	-2.13233827e-02	-6.24215225e-01
161             	5.45040301e-02	7.06864107e-18	-6.46741871e-01	3.23370935e-01	3.01725121e-01	2.72520150e-02	3.50622951e-01	-2.96118920e-01	2.72520150e-02	-2.72520150e-02	-2.16458146e-02	-6.25096056e-01
162             	5.44675681e-02	7.06860260e-18	-6.47944135e-01	3.23972067e-01	3.02010065e-01	2.72337840e-02	3.51205851e-01	-2.96738283e-01	2.72337840e-02	-2.72337840e-02	-2.19620027e-02	-6.25982132e-01
163             	5.44309731e-02	7.06855747e-18	-6.49140411e-01	3.24570206e-01	3.02298536e-01	2.72154866e-02	3.51785692e-01	-2.97354719e-01	2.72154866e-02	-2.72154866e-02	-2.22716694e-02	-6.26868742e-01
164             	5.43954603e-02	7.06851075e-18	-6.50326258e-01	3.25163129e-01	3.02588345e-01	2.71977301e-02	3.52360859e-01	-2.97965399e-01	2.71977301e-02	-2.71977301e-02	-2.25747840e-02	-6.27751474e-01
165             	5.43603290e-02	7.06846654e-18	-6.51511837e-01	3.25755918e-01	3.02883140e-01	2.71801645e-02	3.52936083e-01	-2.98575754e-01	2.71801645e-02	-2.71801645e-02	-2.28727782e-02	-6.28639059e-01
166             	5.43251595e-02	7.06842418e-18	-6.52692843e-01	3.26346421e-01	3.03181332e-01	2.71625798e-02	3.53509001e-01	-2.99183842e-01	2.71625798e-02	-2.71625798e-02	-2.31650890e-02	-6.29527754e-01
167             	5.42886168e-02	7.06838351e-18	-6.53860615e-01	3.26930308e-01	3.03478479e-01	2.71443084e-02	3.54074616e-01	-2.99785999e-01	2.71443084e-02	-2.71443084e-02	-2.34518284e-02	-6.30408787e-01
168             	5.42526493e-02	7.06834434e-18	-6.55019638e-01	3.27509819e-01	3.03774056e-01	2.71263247e-02	3.54636144e-01	-3.00383495e-01	2.71263247e-02	-2.71263247e-02	-2.37357634e-02	-6.31283875e-01
169             	5.42138320e-02	7.06830607e-18	-6.56142745e-01	3.28071373e-01	3.04055483e-01	2.71069160e-02	3.55178289e-01	-3.00964457e-01	2.71069160e-02	-2.71069160e-02	-2.40158895e-02	-6.32126856e-01
170             	5.41721473e-02	7.06826806e-18	-6.57240378e-01	3.28620189e-01	3.04325120e-01	2.70860736e-02	3.55706263e-01	-3.01534116e-01	2.70860736e-02	-2.70860736e-02	-2.42950691e-02	-6.32945309e-01
171             	5.41288253e-02	7.06823390e-18	-6.58322281e-01	3.29161141e-01	3.04589816e-01	2.70644127e-02	3.56225553e-01	-3.02096728e-01	2.70644127e-02	-2.70644127e-02	-2.45713241e-02	-6.33750957e-01
