# ccx tau_xx tau_yy tau_zz cp yplus
0.54306 -1.21932e-05 -3.46018e-06 -4.39266e-21 -1.14959 1.19191
0.538546 -1.25718e-05 -3.65425e-06 -1.09214e-26 -1.17624 1.19996
0.534063 -1.34821e-05 -3.79694e-06 -1.43148e-22 -1.20653 1.23002
0.5296 -1.50675e-05 -3.82732e-06 7.16081e-23 -1.23399 1.29156
0.525167 -1.58873e-05 -3.91161e-06 7.22154e-23 -1.25943 1.31911
0.520762 -1.61863e-05 -4.06396e-06 4.56696e-21 -1.28678 1.32039
0.51638 -1.65033e-05 -4.30572e-06 9.33053e-21 -1.31542 1.32297
0.512028 -1.80058e-05 -4.33299e-06 -4.67811e-21 -1.34882 1.36747
0.507699 -1.9592e-05 -4.32729e-06 9.68251e-27 -1.37288 1.42302
0.503394 -1.97232e-05 -4.49592e-06 3.69146e-23 -1.40126 1.41678
0.499119 -2.01615e-05 -4.68297e-06 -3.71188e-23 -1.43003 1.42119
0.494866 -2.0917e-05 -4.8604e-06 4.76216e-21 -1.46208 1.43574
0.490641 -2.25983e-05 -4.84892e-06 -4.78729e-21 -1.49368 1.48218
0.486443 -2.37803e-05 -4.8836e-06 -3.74956e-23 -1.52008 1.51493
0.482265 -2.40208e-05 -5.06225e-06 -4.79258e-21 -1.54962 1.51132
0.478116 -2.43711e-05 -5.31595e-06 4.86521e-21 -1.58043 1.51147
0.473991 -2.56065e-05 -5.42246e-06 -3.52648e-38 -1.6162 1.53655
0.46989 -2.76875e-05 -5.32774e-06 -4.85115e-21 -1.64651 1.59176
0.465816 -2.86249e-05 -5.38074e-06 9.74144e-21 -1.67394 1.61244
0.461762 -2.88598e-05 -5.56643e-06 -4.89358e-21 -1.70398 1.60787
0.457735 -2.9117e-05 -5.86924e-06 3.88835e-23 -1.73598 1.60453
0.453735 -3.07005e-05 -5.90138e-06 -5.01303e-21 -1.77429 1.63461
0.449755 -3.31645e-05 -5.70259e-06 -1.08733e-37 -1.80307 1.69628
0.445801 -3.39428e-05 -5.76009e-06 2.50825e-21 -1.83009 1.71038
0.441868 -3.41231e-05 -5.95349e-06 2.55771e-21 -1.85977 1.70405
0.437961 -3.43295e-05 -6.26655e-06 2.54158e-21 -1.89184 1.69894
0.434081 -3.58701e-05 -6.29812e-06 2.50391e-21 -1.93043 1.72441
