# Force coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.03413075e-01
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e+00
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cs              	Cl              	CmRoll          	CmPitch         	CmYaw           	Cd(f)           	Cd(r)           	Cs(f)           	Cs(r)           	Cl(f)           	Cl(r)           
164             	5.28905583e-02	7.70746088e-19	-4.48773240e-01	2.24386620e-01	2.32106214e-01	2.64452791e-02	2.50831899e-01	-1.97941341e-01	2.64452791e-02	-2.64452791e-02	7.71959383e-03	-4.56492834e-01
165             	5.28681513e-02	7.70749031e-19	-4.49111021e-01	2.24555510e-01	2.32242258e-01	2.64340756e-02	2.50989586e-01	-1.98121435e-01	2.64340756e-02	-2.64340756e-02	7.68674744e-03	-4.56797768e-01
166             	5.28461815e-02	7.70752081e-19	-4.49452367e-01	2.24726183e-01	2.32375159e-01	2.64230907e-02	2.51149274e-01	-1.98303093e-01	2.64230907e-02	-2.64230907e-02	7.64897528e-03	-4.57101342e-01
167             	5.28241743e-02	7.70755159e-19	-4.49778925e-01	2.24889463e-01	2.32496109e-01	2.64120872e-02	2.51301550e-01	-1.98477376e-01	2.64120872e-02	-2.64120872e-02	7.60664629e-03	-4.57385572e-01
168             	5.28024090e-02	7.70758217e-19	-4.50094882e-01	2.25047441e-01	2.32607015e-01	2.64012045e-02	2.51448645e-01	-1.98646236e-01	2.64012045e-02	-2.64012045e-02	7.55957371e-03	-4.57654456e-01
169             	5.27809019e-02	7.70761298e-19	-4.50408295e-01	2.25204148e-01	2.32712272e-01	2.63904509e-02	2.51594599e-01	-1.98813697e-01	2.63904509e-02	-2.63904509e-02	7.50812436e-03	-4.57916420e-01
170             	5.27601387e-02	7.70764287e-19	-4.50714277e-01	2.25357138e-01	2.32810036e-01	2.63800693e-02	2.51737208e-01	-1.98977069e-01	2.63800693e-02	-2.63800693e-02	7.45289732e-03	-4.58167174e-01
171             	5.27395393e-02	7.70767414e-19	-4.51019605e-01	2.25509802e-01	2.32902893e-01	2.63697696e-02	2.51879572e-01	-1.99140033e-01	2.63697696e-02	-2.63697696e-02	7.39309062e-03	-4.58412695e-01
172             	5.27189514e-02	7.70770401e-19	-4.51320536e-01	2.25660268e-01	2.32989163e-01	2.63594757e-02	2.52019744e-01	-1.99300792e-01	2.63594757e-02	-2.63594757e-02	7.32889498e-03	-4.58649431e-01
173             	5.26990346e-02	7.70773142e-19	-4.51610833e-01	2.25805416e-01	2.33066959e-01	2.63495173e-02	2.52154934e-01	-1.99455899e-01	2.63495173e-02	-2.63495173e-02	7.26154289e-03	-4.58872376e-01
174             	5.26798443e-02	7.70776076e-19	-4.51916007e-01	2.25958004e-01	2.33147712e-01	2.63399221e-02	2.52297926e-01	-1.99618081e-01	2.63399221e-02	-2.63399221e-02	7.18970867e-03	-4.59105716e-01
175             	5.26615261e-02	7.70778961e-19	-4.52212844e-01	2.26106422e-01	2.33221325e-01	2.63307630e-02	2.52437185e-01	-1.99775659e-01	2.63307630e-02	-2.63307630e-02	7.11490291e-03	-4.59327747e-01
176             	5.26436179e-02	7.70781751e-19	-4.52503470e-01	2.26251735e-01	2.33288564e-01	2.63218090e-02	2.52573544e-01	-1.99929926e-01	2.63218090e-02	-2.63218090e-02	7.03682966e-03	-4.59540299e-01
