# ccx tau_xx tau_yy tau_zz cp yplus
0.0659448 -2.93137e-05 -5.64301e-06 -7.07791e-23 0.181007 84.2726
0.0570338 -2.88946e-05 -5.99173e-06 -1.76793e-23 0.200446 83.9359
0.0491478 -2.86072e-05 -6.45155e-06 1.76458e-23 0.206394 83.938
0.0422869 -2.84794e-05 -6.97601e-06 -3.51739e-23 0.214089 84.2074
0.036381 -2.85903e-05 -7.78933e-06 1.10203e-39 0.201422 85.0815
0.0313147 -2.92145e-05 -8.87274e-06 0 0.176218 86.8489
0.0270382 -3.03845e-05 -1.03441e-05 -1.46937e-39 0.128098 89.5737
0.248895 -4.05818e-05 7.68463e-07 3.07484e-23 -1.13442 97.0202
0.258565 -3.70278e-05 5.63575e-07 3.32173e-23 -1.08234 92.6558
0.269159 -3.36138e-05 4.59435e-07 -1.67362e-26 -1.04554 88.2774
0.280754 -3.00732e-05 3.75682e-07 -7.24723e-23 -1.01817 83.4883
0.293424 -2.63771e-05 2.76185e-07 4.3288e-24 -0.992658 78.1782
0.307248 -2.24546e-05 2.04206e-07 6.6065e-23 -0.972664 72.0986
0.322309 -1.81729e-05 1.47656e-07 1.43772e-22 -0.953202 64.8201
0.338692 -1.38682e-05 1.03889e-07 1.48093e-22 -0.935287 56.6066
0.356488 -9.9169e-06 3.79481e-08 6.2086e-22 -0.928305 47.873
0.375787 -6.71259e-06 -9.73856e-08 -3.26111e-22 -0.929088 39.406
0.396681 -4.36925e-06 -2.14332e-07 -3.52698e-22 -0.929175 31.8275
0.419266 -2.75847e-06 -2.94553e-07 4.02265e-22 -0.923727 25.3467
0.443827 -1.72717e-06 -2.98925e-07 -8.92691e-22 -0.914891 20.1338
0.470547 -8.1661e-07 -3.08353e-07 -1.49385e-23 -0.903895 14.1741
0.499415 -1.30929e-06 -6.35599e-07 -1.85909e-21 -0.866965 18.1894
0.530547 -2.62536e-06 -1.05417e-06 1.58823e-21 -0.786245 25.364
0.564099 -3.81283e-06 -1.24526e-06 0 -0.709197 30.266
0.600271 -5.24221e-06 -1.48142e-06 2.50787e-26 -0.656733 35.3528
0.639334 -6.71743e-06 -1.75709e-06 2.56002e-21 -0.612529 39.9846
0.681835 -7.82895e-06 -2.00889e-06 -2.46483e-21 -0.567861 43.1925
0.728119 -8.57508e-06 -2.22239e-06 2.31958e-24 -0.515792 45.2984
0.778396 -8.98067e-06 -2.38292e-06 4.64473e-21 -0.459482 46.4863
0.833304 -8.53969e-06 -2.39131e-06 -4.25166e-24 -0.396328 45.5694
0.894317 -9.61973e-06 -2.59466e-06 1.70099e-23 -0.307391 48.5348
0.963312 -3.22056e-06 -1.4136e-06 -6.04e-21 -0.302402 28.5986
0.0270148 -5.33125e-05 3.71071e-05 5.87747e-39 -1.15488 120.226
0.0309572 -5.29204e-05 3.48138e-05 -6.80155e-23 -1.11619 117.844
