# ccx tau_xx tau_yy tau_zz cp yplus
0.538546 -4.68399e-06 -2.05572e-06 -8.30669e-27 -0.89768 0.745738
0.534063 -5.40691e-06 -2.19679e-06 -1.46541e-22 -0.920021 0.790426
0.5296 -6.54882e-06 -2.28904e-06 7.3358e-23 -0.941379 0.860278
0.525167 -7.29167e-06 -2.39929e-06 7.39547e-23 -0.962039 0.901366
0.520762 -7.81345e-06 -2.53357e-06 4.67216e-21 -0.98392 0.92436
0.51638 -8.25354e-06 -2.73428e-06 9.53977e-21 -1.00635 0.942557
0.512028 -9.44242e-06 -2.82515e-06 -4.78826e-21 -1.03226 0.996065
0.507699 -1.07038e-05 -2.88648e-06 8.2282e-27 -1.05303 1.05658
0.503394 -1.11443e-05 -3.03672e-06 3.7738e-23 -1.07653 1.06943
0.499119 -1.17774e-05 -3.20337e-06 -3.79106e-23 -1.10012 1.09027
0.494866 -1.2547e-05 -3.37563e-06 4.86315e-21 -1.12586 1.1158
0.490641 -1.39355e-05 -3.4335e-06 -4.89173e-21 -1.15173 1.1672
0.486443 -1.50313e-05 -3.50304e-06 -3.82916e-23 -1.17457 1.20726
0.482265 -1.55866e-05 -3.65747e-06 -4.88992e-21 -1.19929 1.21991
0.478116 -1.61538e-05 -3.87034e-06 4.95913e-21 -1.22459 1.23284
0.473991 -1.72686e-05 -4.00008e-06 -1.91018e-38 -1.25335 1.26396
0.46989 -1.8953e-05 -3.98491e-06 -4.94942e-21 -1.2789 1.31883
0.465816 -1.99121e-05 -4.05264e-06 9.93259e-21 -1.3026 1.34646
0.461762 -2.04532e-05 -4.21164e-06 -4.98662e-21 -1.3279 1.35496
0.457735 -2.09151e-05 -4.46323e-06 3.95862e-23 -1.3543 1.36117
0.453735 -2.22554e-05 -4.54205e-06 -5.10731e-21 -1.38539 1.39302
0.449755 -2.4203e-05 -4.43894e-06 -1.98365e-37 -1.41032 1.45028
0.445801 -2.50568e-05 -4.50654e-06 2.55587e-21 -1.43412 1.47059
0.441868 -2.55524e-05 -4.668e-06 2.60483e-21 -1.45961 1.47547
0.437961 -2.59793e-05 -4.92706e-06 2.58592e-21 -1.48645 1.47872
0.434081 -2.73056e-05 -4.99686e-06 2.54892e-21 -1.5182 1.50533
0.430219 -2.93788e-05 -4.8302e-06 -2.55127e-21 -1.54375 1.55915
0.426382 -3.03207e-05 -4.85361e-06 -1.0648e-26 -1.56669 1.58005
0.42257 -3.07379e-05 -5.01101e-06 2.57977e-21 -1.59178 1.5815
0.418779 -3.11532e-05 -5.2412e-06 -3.67342e-40 -1.61807 1.58312
0.415014 -3.2167e-05 -5.37064e-06 -5.89498e-38 -1.6487 1.59895
0.411271 -3.42495e-05 -5.17914e-06 -1.85508e-37 -1.67665 1.6453
0.407549 -3.55515e-05 -5.10664e-06 -2.66529e-21 -1.69792 1.67517
0.403853 -3.58715e-05 -5.26558e-06 2.67948e-21 -1.72259 1.67367
0.400175 -3.63349e-05 -5.44384e-06 -2.69006e-21 -1.74787 1.6755
0.396524 -3.68132e-05 -5.71066e-06 4.23972e-23 -1.77628 1.6779
0.392898 -3.88468e-05 -5.52767e-06 -5.92206e-27 -1.80882 1.71468
0.389289 -4.07942e-05 -5.295e-06 -2.76229e-21 -1.82782 1.7599
0.385704 -4.09246e-05 -5.47926e-06 5.48328e-21 -1.85196 1.75415
0.382144 -4.14298e-05 -5.61536e-06 2.70993e-21 -1.87646 1.75626
0.378603 -4.17767e-05 -5.86667e-06 4.32958e-23 -1.90307 1.75533
0.375087 -4.31655e-05 -5.85364e-06 4.34616e-23 -1.93451 1.77498
0.371592 -4.51793e-05 -5.62479e-06 -8.70285e-23 -1.95817 1.81446
0.368117 -4.59545e-05 -5.66445e-06 -2.759e-21 -1.98053 1.82536
0.364668 -4.64055e-05 -5.79506e-06 -1.0359e-37 -2.00501 1.82598
