# y+ ()         
# Time          	patch           	min             	max             	average         
3900            	Airfoil	2.90603646e-01	5.34605571e+00	2.25422691e+00
4000            	Ground	3.30329144e-01	1.97942808e+00	1.48794480e+00
4000            	Airfoil	2.90925404e-01	5.35074244e+00	2.25544474e+00
4100            	Ground	3.22232079e-01	1.97818853e+00	1.48855616e+00
4100            	Airfoil	2.91311708e-01	5.35515516e+00	2.25665153e+00
4200            	Ground	3.12582845e-01	1.97960980e+00	1.48917997e+00
4200            	Airfoil	2.91384545e-01	5.35936316e+00	2.25769083e+00
4300            	Ground	3.03186651e-01	1.97927879e+00	1.48945948e+00
4300            	Airfoil	2.91510086e-01	5.36334783e+00	2.25872937e+00
4400            	Ground	2.94075870e-01	1.97857632e+00	1.49000977e+00
4400            	Airfoil	2.91877656e-01	5.36711879e+00	2.25973818e+00
4500            	Ground	2.85216660e-01	1.97939735e+00	1.49084989e+00
4500            	Airfoil	2.92200883e-01	5.37069378e+00	2.26064856e+00
4600            	Ground	2.76630550e-01	1.97922919e+00	1.49141278e+00
4600            	Airfoil	2.92472302e-01	5.37408264e+00	2.26150126e+00
4700            	Ground	2.68218589e-01	1.97859275e+00	1.49190891e+00
4700            	Airfoil	2.92489180e-01	5.37728019e+00	2.26234289e+00
4800            	Ground	2.59983045e-01	1.97928307e+00	1.49234819e+00
4800            	Airfoil	2.92825682e-01	5.38032450e+00	2.26311581e+00
4900            	Ground	2.52098885e-01	1.97905895e+00	1.49289554e+00
4900            	Airfoil	2.93059161e-01	5.38320914e+00	2.26384943e+00
5000            	Ground	2.44308781e-01	1.97880521e+00	1.49340582e+00
5000            	Airfoil	2.93226312e-01	5.38592069e+00	2.26455799e+00
5100            	Ground	2.36751883e-01	1.97910137e+00	1.49362391e+00
5100            	Airfoil	2.93227755e-01	5.38850884e+00	2.26521045e+00
5200            	Ground	2.29420374e-01	1.97903007e+00	1.49403806e+00
5200            	Airfoil	2.93422332e-01	5.39096981e+00	2.26581863e+00
5300            	Ground	2.22308220e-01	1.97887509e+00	1.49456174e+00
5300            	Airfoil	2.93631120e-01	5.39325955e+00	2.26642034e+00
5400            	Ground	2.15382500e-01	1.97904277e+00	1.49502217e+00
5400            	Airfoil	2.93758480e-01	5.39544732e+00	2.26697409e+00
5500            	Ground	2.08599136e-01	1.97896442e+00	1.49532058e+00
5500            	Airfoil	2.93968232e-01	5.39751974e+00	2.26748705e+00
5600            	Ground	2.02051884e-01	1.97894339e+00	1.49566605e+00
5600            	Airfoil	2.94019136e-01	5.39947602e+00	2.26799607e+00
5700            	Ground	1.95628611e-01	1.97895537e+00	1.49608804e+00
5700            	Airfoil	2.94273500e-01	5.40132746e+00	2.26846961e+00
5800            	Ground	1.89468546e-01	1.97893049e+00	1.49644215e+00
5800            	Airfoil	2.94238540e-01	5.40307889e+00	2.26890508e+00
5900            	Ground	1.83389276e-01	1.97887814e+00	1.49663168e+00
5900            	Airfoil	2.94237733e-01	5.40473639e+00	2.26930112e+00
