# Force coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.03413075e-01
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e+00
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cs              	Cl              	CmRoll          	CmPitch         	CmYaw           	Cd(f)           	Cd(r)           	Cs(f)           	Cs(r)           	Cl(f)           	Cl(r)           
190             	7.47624477e-02	5.09087963e-19	-6.98566529e-01	3.49283265e-01	3.15244564e-01	3.73812238e-02	3.86664488e-01	-3.11902041e-01	3.73812238e-02	-3.73812238e-02	-3.40387003e-02	-6.64527829e-01
191             	7.46067453e-02	5.09098512e-19	-6.98527687e-01	3.49263843e-01	3.14999300e-01	3.73033727e-02	3.86567216e-01	-3.11960471e-01	3.73033727e-02	-3.73033727e-02	-3.42645430e-02	-6.64263144e-01
192             	7.44832000e-02	5.09127920e-19	-6.98533854e-01	3.49266927e-01	3.14820588e-01	3.72416000e-02	3.86508527e-01	-3.12025327e-01	3.72416000e-02	-3.72416000e-02	-3.44463390e-02	-6.64087515e-01
193             	7.43397767e-02	5.09162691e-19	-6.98575296e-01	3.49287648e-01	3.14613704e-01	3.71698883e-02	3.86457536e-01	-3.12117760e-01	3.71698883e-02	-3.71698883e-02	-3.46739437e-02	-6.63901352e-01
194             	7.42272237e-02	5.09184850e-19	-6.98589595e-01	3.49294797e-01	3.14442736e-01	3.71136118e-02	3.86408409e-01	-3.12181185e-01	3.71136118e-02	-3.71136118e-02	-3.48520608e-02	-6.63737534e-01
195             	7.40820976e-02	5.09206979e-19	-6.98559903e-01	3.49279952e-01	3.14202395e-01	3.70410488e-02	3.86321000e-01	-3.12238903e-01	3.70410488e-02	-3.70410488e-02	-3.50775562e-02	-6.63482347e-01
196             	7.39143825e-02	5.09214525e-19	-6.98479807e-01	3.49239903e-01	3.13941872e-01	3.69571913e-02	3.86197095e-01	-3.12282712e-01	3.69571913e-02	-3.69571913e-02	-3.52980310e-02	-6.63181776e-01
197             	7.37587688e-02	5.09228637e-19	-6.98393975e-01	3.49196988e-01	3.13675524e-01	3.68793844e-02	3.86076372e-01	-3.12317603e-01	3.68793844e-02	-3.68793844e-02	-3.55214640e-02	-6.62872511e-01
198             	7.35994388e-02	5.09239618e-19	-6.98356531e-01	3.49178265e-01	3.13431790e-01	3.67997194e-02	3.85977985e-01	-3.12378546e-01	3.67997194e-02	-3.67997194e-02	-3.57464758e-02	-6.62610055e-01
199             	7.34531019e-02	5.09251234e-19	-6.98389776e-01	3.49194888e-01	3.13209173e-01	3.67265509e-02	3.85921439e-01	-3.12468337e-01	3.67265509e-02	-3.67265509e-02	-3.59857152e-02	-6.62404061e-01
200             	7.32968104e-02	5.09256525e-19	-6.98465040e-01	3.49232520e-01	3.12996246e-01	3.66484052e-02	3.85880925e-01	-3.12584115e-01	3.66484052e-02	-3.66484052e-02	-3.62362739e-02	-6.62228766e-01
201             	7.31431645e-02	5.09261693e-19	-6.98539032e-01	3.49269516e-01	3.12793585e-01	3.65715823e-02	3.85841098e-01	-3.12697934e-01	3.65715823e-02	-3.65715823e-02	-3.64759309e-02	-6.62063101e-01
202             	7.29942729e-02	5.09272042e-19	-6.98631622e-01	3.49315811e-01	3.12584984e-01	3.64971364e-02	3.85812947e-01	-3.12818674e-01	3.64971364e-02	-3.64971364e-02	-3.67308269e-02	-6.61900795e-01
203             	7.28387073e-02	5.09279680e-19	-6.98746166e-01	3.49373083e-01	3.12351079e-01	3.64193537e-02	3.85792437e-01	-3.12953730e-01	3.64193537e-02	-3.64193537e-02	-3.70220045e-02	-6.61724162e-01
204             	7.27328634e-02	5.09283773e-19	-6.98765956e-01	3.49382978e-01	3.12174077e-01	3.63664317e-02	3.85749410e-01	-3.13016546e-01	3.63664317e-02	-3.63664317e-02	-3.72089013e-02	-6.61557055e-01
205             	7.26151826e-02	5.09290689e-19	-6.98969431e-01	3.49484716e-01	3.12019795e-01	3.63075913e-02	3.85792307e-01	-3.13177124e-01	3.63075913e-02	-3.63075913e-02	-3.74649208e-02	-6.61504511e-01
206             	7.24857664e-02	5.09285067e-19	-6.99128057e-01	3.49564029e-01	3.11836308e-01	3.62428832e-02	3.85806912e-01	-3.13321145e-01	3.62428832e-02	-3.62428832e-02	-3.77277203e-02	-6.61400337e-01
207             	7.23379850e-02	5.09279922e-19	-6.99136679e-01	3.49568340e-01	3.11600876e-01	3.61689925e-02	3.85737332e-01	-3.13399347e-01	3.61689925e-02	-3.61689925e-02	-3.79674634e-02	-6.61169216e-01
208             	7.21919901e-02	5.09271523e-19	-6.99124433e-01	3.49562217e-01	3.11348745e-01	3.60959951e-02	3.85658212e-01	-3.13466222e-01	3.60959951e-02	-3.60959951e-02	-3.82134719e-02	-6.60910962e-01
209             	7.20545185e-02	5.09258798e-19	-6.99196327e-01	3.49598164e-01	3.11139103e-01	3.60272593e-02	3.85625423e-01	-3.13570904e-01	3.60272593e-02	-3.60272593e-02	-3.84590601e-02	-6.60737267e-01
210             	7.19364589e-02	5.09238638e-19	-6.99338858e-01	3.49669429e-01	3.10947455e-01	3.59682295e-02	3.85637659e-01	-3.13701200e-01	3.59682295e-02	-3.59682295e-02	-3.87219738e-02	-6.60616884e-01
211             	7.18304041e-02	5.09208734e-19	-6.99428863e-01	3.49714431e-01	3.10761666e-01	3.59152020e-02	3.85629634e-01	-3.13799229e-01	3.59152020e-02	-3.59152020e-02	-3.89527652e-02	-6.60476098e-01
212             	7.17272454e-02	5.09179323e-19	-6.99555004e-01	3.49777502e-01	3.10573973e-01	3.58636227e-02	3.85641125e-01	-3.13913879e-01	3.58636227e-02	-3.58636227e-02	-3.92035291e-02	-6.60351475e-01
213             	7.16045918e-02	5.09142031e-19	-6.99689823e-01	3.49844912e-01	3.10381961e-01	3.58022959e-02	3.85647208e-01	-3.14042616e-01	3.58022959e-02	-3.58022959e-02	-3.94629510e-02	-6.60226872e-01
214             	7.14716353e-02	5.09100624e-19	-6.99769743e-01	3.49884872e-01	3.10149169e-01	3.57358177e-02	3.85620689e-01	-3.14149054e-01	3.57358177e-02	-3.57358177e-02	-3.97357029e-02	-6.60034040e-01
215             	7.13440822e-02	5.09055816e-19	-6.99782885e-01	3.49891443e-01	3.09891574e-01	3.56720411e-02	3.85563484e-01	-3.14219401e-01	3.56720411e-02	-3.56720411e-02	-3.99998684e-02	-6.59783017e-01
216             	7.12362910e-02	5.09010244e-19	-6.99780611e-01	3.49890305e-01	3.09643745e-01	3.56181455e-02	3.85508451e-01	-3.14272160e-01	3.56181455e-02	-3.56181455e-02	-4.02465604e-02	-6.59534050e-01
217             	7.11084830e-02	5.08966771e-19	-6.99768671e-01	3.49884336e-01	3.09373345e-01	3.55542415e-02	3.85438577e-01	-3.14330094e-01	3.55542415e-02	-3.55542415e-02	-4.05109905e-02	-6.59257681e-01
218             	7.09926836e-02	5.08919721e-19	-6.99736610e-01	3.49868305e-01	3.09109676e-01	3.54963418e-02	3.85364647e-01	-3.14371963e-01	3.54963418e-02	-3.54963418e-02	-4.07586287e-02	-6.58977981e-01
219             	7.08752242e-02	5.08870540e-19	-6.99711999e-01	3.49855999e-01	3.08852899e-01	3.54376121e-02	3.85293612e-01	-3.14418387e-01	3.54376121e-02	-3.54376121e-02	-4.10031007e-02	-6.58708898e-01
220             	7.07920279e-02	5.08820952e-19	-6.99677032e-01	3.49838516e-01	3.08612444e-01	3.53960140e-02	3.85234530e-01	-3.14442502e-01	3.53960140e-02	-3.53960140e-02	-4.12260721e-02	-6.58450960e-01
221             	7.07081851e-02	5.08771760e-19	-6.99684329e-01	3.49842164e-01	3.08371755e-01	3.53540926e-02	3.85196257e-01	-3.14488072e-01	3.53540926e-02	-3.53540926e-02	-4.14704092e-02	-6.58213920e-01
222             	7.06093126e-02	5.08717239e-19	-6.99647885e-01	3.49823942e-01	3.08110959e-01	3.53046563e-02	3.85128599e-01	-3.14519286e-01	3.53046563e-02	-3.53046563e-02	-4.17129839e-02	-6.57934901e-01
223             	7.05236829e-02	5.08662642e-19	-6.99595229e-01	3.49797614e-01	3.07862206e-01	3.52618414e-02	3.85059456e-01	-3.14535773e-01	3.52618414e-02	-3.52618414e-02	-4.19354084e-02	-6.57659821e-01
