# y+ ()         
# Time          	patch           	min             	max             	average         
3900            	Airfoil	3.28020608e-01	5.75293216e+00	2.48871627e+00
4000            	Ground	2.82664498e-01	2.14532288e+00	1.62900116e+00
4000            	Airfoil	3.28150164e-01	5.76702309e+00	2.49299871e+00
4100            	Ground	2.34861283e-01	2.15071846e+00	1.63143572e+00
4100            	Airfoil	3.28317320e-01	5.78041424e+00	2.49702603e+00
4200            	Ground	1.77786425e-01	2.15585510e+00	1.63378136e+00
4200            	Airfoil	3.28514317e-01	5.79313314e+00	2.50084846e+00
4300            	Ground	9.74354070e-02	2.16073920e+00	1.63601771e+00
4300            	Airfoil	3.28684624e-01	5.80521363e+00	2.50452431e+00
4400            	Ground	1.13651710e-01	2.16538603e+00	1.63824325e+00
4400            	Airfoil	3.28946991e-01	5.81670376e+00	2.50794926e+00
4500            	Ground	1.82033639e-01	2.16981484e+00	1.64051537e+00
4500            	Airfoil	3.29195194e-01	5.82763439e+00	2.51129682e+00
4600            	Ground	2.29317200e-01	2.17406150e+00	1.64263417e+00
4600            	Airfoil	3.29431194e-01	5.83800469e+00	2.51440895e+00
4700            	Ground	2.66805079e-01	2.17811948e+00	1.64459216e+00
4700            	Airfoil	3.29753294e-01	5.84787614e+00	2.51737548e+00
4800            	Ground	2.98220753e-01	2.18198366e+00	1.64654274e+00
4800            	Airfoil	3.30034781e-01	5.85728244e+00	2.52020194e+00
4900            	Ground	3.25402906e-01	2.18566988e+00	1.64830891e+00
4900            	Airfoil	3.30407221e-01	5.86624372e+00	2.52284365e+00
5000            	Ground	3.49385645e-01	2.18918348e+00	1.65008012e+00
5000            	Airfoil	3.30731614e-01	5.87475930e+00	2.52534260e+00
5100            	Ground	3.70839332e-01	2.19253697e+00	1.65170617e+00
5100            	Airfoil	3.31057832e-01	5.88289951e+00	2.52785929e+00
5200            	Ground	3.84353299e-01	2.19574118e+00	1.65328710e+00
5200            	Airfoil	3.31446412e-01	5.89063166e+00	2.53005949e+00
5300            	Ground	3.65996166e-01	2.19879871e+00	1.65479780e+00
5300            	Airfoil	2.95821515e-01	5.89802560e+00	2.53228047e+00
5400            	Ground	3.47565966e-01	2.20171450e+00	1.65618562e+00
5400            	Airfoil	2.51197219e-01	5.90506969e+00	2.53442176e+00
5500            	Ground	3.29005456e-01	2.20449608e+00	1.65756057e+00
5500            	Airfoil	2.00079378e-01	5.91177191e+00	2.53636967e+00
5600            	Ground	3.10240101e-01	2.20715099e+00	1.65882087e+00
5600            	Airfoil	1.37839409e-01	5.91817195e+00	2.53821101e+00
5700            	Ground	2.91200820e-01	2.20968331e+00	1.66007290e+00
5700            	Airfoil	1.02414879e-01	5.92428142e+00	2.54003809e+00
5800            	Ground	2.71764896e-01	2.21210137e+00	1.66127283e+00
5800            	Airfoil	1.62956375e-01	5.93010645e+00	2.54191275e+00
5900            	Ground	2.51814667e-01	2.21440701e+00	1.66239895e+00
5900            	Airfoil	2.12265088e-01	5.93565414e+00	2.54364278e+00
6000            	Ground	2.31176735e-01	2.21660566e+00	1.66352538e+00
6000            	Airfoil	2.51141255e-01	5.94094520e+00	2.54528823e+00
6100            	Ground	2.09591890e-01	2.21870347e+00	1.66450985e+00
6100            	Airfoil	2.83500745e-01	5.94600555e+00	2.54703136e+00
6200            	Ground	1.86672171e-01	2.22070647e+00	1.66554678e+00
6200            	Airfoil	3.11227431e-01	5.95082030e+00	2.54845519e+00
6300            	Ground	1.61860164e-01	2.22261441e+00	1.66647944e+00
6300            	Airfoil	3.35359141e-01	5.95542102e+00	2.54996973e+00
6400            	Ground	1.34069949e-01	2.22443745e+00	1.66737248e+00
6400            	Airfoil	3.35820349e-01	5.95980568e+00	2.55127765e+00
6500            	Ground	1.01298648e-01	2.22617408e+00	1.66819313e+00
6500            	Airfoil	3.36166604e-01	5.96400491e+00	2.55272696e+00
6600            	Ground	6.18239335e-02	2.22783092e+00	1.66899716e+00
6600            	Airfoil	3.36470424e-01	5.96798081e+00	2.55382799e+00
6700            	Ground	7.69329283e-02	2.22941305e+00	1.66983456e+00
6700            	Airfoil	3.36757393e-01	5.97178495e+00	2.55503740e+00
6800            	Ground	1.11032732e-01	2.23092056e+00	1.67069397e+00
6800            	Airfoil	3.37053249e-01	5.97542459e+00	2.55625299e+00
6900            	Ground	1.36992572e-01	2.23235793e+00	1.67155090e+00
6900            	Airfoil	3.37362086e-01	5.97890292e+00	2.55740591e+00
7000            	Ground	1.58085310e-01	2.23373118e+00	1.67231219e+00
7000            	Airfoil	3.37641606e-01	5.98220214e+00	2.55840159e+00
7100            	Ground	1.75936153e-01	2.23504054e+00	1.67306227e+00
7100            	Airfoil	3.37924233e-01	5.98535045e+00	2.55930830e+00
7200            	Ground	1.91454194e-01	2.23628775e+00	1.67376583e+00
7200            	Airfoil	3.38135414e-01	5.98835619e+00	2.56020980e+00
7300            	Ground	2.05188032e-01	2.23747755e+00	1.67443557e+00
7300            	Airfoil	3.38384336e-01	5.99122647e+00	2.56111188e+00
7400            	Ground	2.17498512e-01	2.23861289e+00	1.67513085e+00
7400            	Airfoil	3.38629954e-01	5.99396569e+00	2.56201312e+00
7500            	Ground	2.28626612e-01	2.23969313e+00	1.67578269e+00
7500            	Airfoil	3.38841352e-01	5.99659122e+00	2.56293707e+00
7600            	Ground	2.38769600e-01	2.24072430e+00	1.67637856e+00
7600            	Airfoil	3.39000336e-01	5.99907388e+00	2.56366858e+00
7700            	Ground	2.48058059e-01	2.24170584e+00	1.67692067e+00
7700            	Airfoil	3.39142583e-01	6.00142889e+00	2.56433941e+00
7800            	Ground	2.56603734e-01	2.24264051e+00	1.67743514e+00
7800            	Airfoil	3.39302103e-01	6.00366975e+00	2.56496504e+00
7900            	Ground	2.64480005e-01	2.24352720e+00	1.67794125e+00
7900            	Airfoil	3.39500941e-01	6.00582332e+00	2.56557596e+00
8000            	Ground	2.71774357e-01	2.24437253e+00	1.67847551e+00
8000            	Airfoil	3.39781452e-01	6.00790822e+00	2.56643329e+00
8100            	Ground	2.78591654e-01	2.24518528e+00	1.67892841e+00
8100            	Airfoil	3.39845720e-01	6.00985037e+00	2.56693963e+00
8200            	Ground	2.84911433e-01	2.24595282e+00	1.67934888e+00
8200            	Airfoil	3.39978134e-01	6.01168014e+00	2.56739208e+00
8300            	Ground	2.90777897e-01	2.24667730e+00	1.67987961e+00
8300            	Airfoil	3.40292579e-01	6.01348715e+00	2.56812977e+00
8400            	Ground	2.96321619e-01	2.24738138e+00	1.68032022e+00
8400            	Airfoil	3.40220371e-01	6.01516879e+00	2.56856008e+00
8500            	Ground	3.01459326e-01	2.24803834e+00	1.68071889e+00
8500            	Airfoil	3.40411512e-01	6.01674677e+00	2.56891795e+00
8600            	Ground	3.06285068e-01	2.24866766e+00	1.68119064e+00
8600            	Airfoil	3.40526302e-01	6.01831633e+00	2.56959407e+00
8700            	Ground	3.10830895e-01	2.24927061e+00	1.68151882e+00
8700            	Airfoil	3.40549227e-01	6.01972975e+00	2.56985024e+00
8800            	Ground	3.15051481e-01	2.24983133e+00	1.68195540e+00
8800            	Airfoil	3.40848823e-01	6.02115841e+00	2.57048445e+00
8900            	Ground	3.19083041e-01	2.25038227e+00	1.68225971e+00
8900            	Airfoil	3.40730273e-01	6.02243831e+00	2.57068067e+00
9000            	Ground	3.22803686e-01	2.25088575e+00	1.68264839e+00
9000            	Airfoil	3.41069161e-01	6.02372959e+00	2.57125422e+00
9100            	Ground	3.26377681e-01	2.25138493e+00	1.68291506e+00
9100            	Airfoil	3.40935030e-01	6.02488204e+00	2.57139763e+00
9200            	Ground	3.29683654e-01	2.25184107e+00	1.68328601e+00
9200            	Airfoil	3.41186569e-01	6.02605563e+00	2.57192230e+00
9300            	Ground	3.32828038e-01	2.25228436e+00	1.68353512e+00
9300            	Airfoil	3.41252151e-01	6.02710267e+00	2.57205134e+00
9400            	Ground	3.35818026e-01	2.25270860e+00	1.68383406e+00
9400            	Airfoil	3.41217409e-01	6.02815701e+00	2.57248525e+00
9500            	Ground	3.38554038e-01	2.25309936e+00	1.68401805e+00
9500            	Airfoil	3.41621350e-01	6.02913719e+00	2.57290051e+00
9600            	Ground	3.41200003e-01	2.25349462e+00	1.68420787e+00
9600            	Airfoil	3.41332140e-01	6.03002340e+00	2.57294978e+00
9700            	Ground	3.43600088e-01	2.25384305e+00	1.68446503e+00
9700            	Airfoil	3.41614585e-01	6.03092287e+00	2.57336972e+00
9800            	Ground	3.45896830e-01	2.25418246e+00	1.68468366e+00
9800            	Airfoil	3.41851872e-01	6.03176487e+00	2.57371468e+00
9900            	Ground	3.48135744e-01	2.25452049e+00	1.68490342e+00
9900            	Airfoil	3.41494041e-01	6.03253406e+00	2.57372544e+00
10000           	Ground	3.50164056e-01	2.25481504e+00	1.68514247e+00
10000           	Airfoil	3.41793670e-01	6.03330238e+00	2.57407953e+00
