# Force coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.03413075e-01
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e+00
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cs              	Cl              	CmRoll          	CmPitch         	CmYaw           	Cd(f)           	Cd(r)           	Cs(f)           	Cs(r)           	Cl(f)           	Cl(r)           
1               	3.14926807e+01	5.60457456e-19	-7.53323378e+01	3.76661689e+01	4.93710053e+01	1.57463403e+01	5.34125092e+01	-2.19198286e+01	1.57463403e+01	-1.57463403e+01	1.17048364e+01	-8.70371742e+01
2               	4.48038467e+00	5.45149283e-19	-3.95708550e+00	1.97854275e+00	5.02536994e+00	2.24019233e+00	4.21873508e+00	2.61649583e-01	2.24019233e+00	-2.24019233e+00	3.04682719e+00	-7.00391269e+00
3               	-4.36798366e+00	5.41218762e-19	6.61489540e+00	-3.30744770e+00	-2.04379657e+00	-2.18399183e+00	-5.49143953e+00	1.12345587e+00	-2.18399183e+00	2.18399183e+00	1.26365113e+00	5.35124427e+00
4               	-1.38501217e+00	5.37418881e-19	9.36597266e+00	-4.68298633e+00	-3.24618965e+00	-6.92506085e-01	-5.37549241e+00	3.99048024e+00	-6.92506085e-01	6.92506085e-01	1.43679668e+00	7.92917598e+00
5               	1.82993220e-01	5.31873272e-19	4.68456862e+00	-2.34228431e+00	-1.94037618e+00	9.14966098e-02	-2.25078770e+00	2.43378092e+00	9.14966098e-02	-9.14966098e-02	4.01908134e-01	4.28266049e+00
6               	3.45751435e+01	5.65558460e-19	-7.03337400e+00	3.51668700e+00	1.00651420e+00	1.72875718e+01	2.08042588e+01	1.37708848e+01	1.72875718e+01	-1.72875718e+01	-2.51017280e+00	-4.52320120e+00
