# Force coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.03413075e-01
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e+00
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cs              	Cl              	CmRoll          	CmPitch         	CmYaw           	Cd(f)           	Cd(r)           	Cs(f)           	Cs(r)           	Cl(f)           	Cl(r)           
1               	3.10467277e+01	5.60187224e-19	-7.54324008e+01	3.77162004e+01	4.93767988e+01	1.55233638e+01	5.32395642e+01	-2.21928366e+01	1.55233638e+01	-1.55233638e+01	1.16605984e+01	-8.70929992e+01
2               	4.69270575e+00	5.44773053e-19	-4.99173468e+00	2.49586734e+00	5.58209411e+00	2.34635287e+00	4.84222021e+00	-1.49514465e-01	2.34635287e+00	-2.34635287e+00	3.08622678e+00	-8.07796145e+00
3               	-4.32473114e+00	5.39678892e-19	8.89647545e+00	-4.44823773e+00	-3.73588314e+00	-2.16236557e+00	-6.61060330e+00	2.28587216e+00	-2.16236557e+00	2.16236557e+00	7.12354583e-01	8.18412087e+00
4               	-1.23044583e+00	5.44496435e-19	7.34592993e+00	-3.67296496e+00	-2.44140810e+00	-6.15222917e-01	-4.28818788e+00	3.05774205e+00	-6.15222917e-01	6.15222917e-01	1.23155687e+00	6.11437306e+00
5               	1.05240466e-01	5.29001121e-19	4.56837582e+00	-2.28418791e+00	-1.81692299e+00	5.26202329e-02	-2.23156768e+00	2.33680814e+00	5.26202329e-02	-5.26202329e-02	4.67264921e-01	4.10111090e+00
6               	4.02382661e-01	5.68609594e-19	-4.43769808e+00	2.21884904e+00	1.21074636e+00	2.01191330e-01	2.42004037e+00	-2.01765771e+00	2.01191330e-01	-2.01191330e-01	-1.00810268e+00	-3.42959541e+00
