# ccx tau_xx tau_yy tau_zz cp yplus
0.54306 -4.90923e-06 -2.11871e-06 -4.48469e-21 -0.969834 0.769665
0.538546 -5.41327e-06 -2.27622e-06 -9.01008e-27 -0.991865 0.799574
0.534063 -6.29146e-06 -2.40859e-06 -1.46059e-22 -1.01594 0.849923
0.5296 -7.50969e-06 -2.48585e-06 7.31149e-23 -1.03827 0.919052
0.525167 -8.18603e-06 -2.60571e-06 7.37249e-23 -1.05987 0.953685
0.520762 -8.66253e-06 -2.75701e-06 4.65764e-21 -1.08337 0.972442
0.51638 -9.20126e-06 -2.94746e-06 9.50659e-21 -1.10754 0.993785
0.512028 -1.05574e-05 -3.01955e-06 -4.77078e-21 -1.13442 1.05154
0.507699 -1.17239e-05 -3.07293e-06 8.4651e-27 -1.1555 1.1047
0.503394 -1.20721e-05 -3.25015e-06 3.76182e-23 -1.18022 1.11245
0.499119 -1.27108e-05 -3.41762e-06 -3.77851e-23 -1.20542 1.13207
0.494866 -1.36207e-05 -3.57208e-06 4.84564e-21 -1.23248 1.16154
0.490641 -1.50744e-05 -3.61152e-06 -4.87431e-21 -1.25886 1.21292
0.486443 -1.6031e-05 -3.69161e-06 -3.81696e-23 -1.28213 1.24616
0.482265 -1.65014e-05 -3.87481e-06 -4.87482e-21 -1.3083 1.25493
0.478116 -1.71393e-05 -4.07981e-06 4.94231e-21 -1.33538 1.26944
0.473991 -1.84532e-05 -4.18041e-06 -2.05712e-38 -1.36522 1.30572
0.46989 -2.01014e-05 -4.14803e-06 -4.93273e-21 -1.39078 1.35744
0.465816 -2.08651e-05 -4.24572e-06 9.90332e-21 -1.41508 1.37796
0.461762 -2.13325e-05 -4.43498e-06 -4.97199e-21 -1.44211 1.38369
0.457735 -2.19425e-05 -4.66649e-06 3.94494e-23 -1.47049 1.39381
0.453735 -2.35745e-05 -4.70611e-06 -5.08778e-21 -1.50232 1.43287
0.449755 -2.54321e-05 -4.58487e-06 -1.80732e-37 -1.52674 1.48593
0.445801 -2.60523e-05 -4.68952e-06 2.54815e-21 -1.55096 1.49917
0.441868 -2.64646e-05 -4.88161e-06 2.59705e-21 -1.57806 1.50142
0.437961 -2.70474e-05 -5.11316e-06 2.5768e-21 -1.60676 1.50839
0.434081 -2.86855e-05 -5.13616e-06 2.53894e-21 -1.639 1.54208
0.430219 -3.066e-05 -4.9572e-06 -2.54234e-21 -1.66369 1.59208
0.426382 -3.13324e-05 -5.02757e-06 -1.10155e-26 -1.68691 1.60582
0.42257 -3.16482e-05 -5.22475e-06 2.57215e-21 -1.71367 1.60458
0.418779 -3.22066e-05 -5.43788e-06 -2.57139e-39 -1.74204 1.60935
0.415014 -3.35676e-05 -5.51217e-06 -1.03949e-37 -1.77362 1.63268
0.411271 -3.56984e-05 -5.29966e-06 -1.93589e-37 -1.80072 1.67901
0.407549 -3.66843e-05 -5.26596e-06 -2.65622e-21 -1.82178 1.70119
0.403853 -3.6853e-05 -5.47811e-06 2.67105e-21 -1.84793 1.69617
0.400175 -3.73749e-05 -5.65815e-06 -2.68166e-21 -1.87533 1.69905
0.396524 -3.81871e-05 -5.85716e-06 4.22217e-23 -1.90539 1.7083
0.392898 -4.05048e-05 -5.63918e-06 -5.70034e-27 -1.9371 1.7501
0.389289 -4.20407e-05 -5.43312e-06 -2.75225e-21 -1.95515 1.78604
0.385704 -4.20066e-05 -5.68046e-06 5.46457e-21 -1.9806 1.77685
0.382144 -4.25115e-05 -5.82887e-06 2.70122e-21 -2.00694 1.77873
0.378603 -4.30996e-05 -6.03923e-06 4.31232e-23 -2.03545 1.78241
0.375087 -4.48305e-05 -5.98054e-06 4.3273e-23 -2.06706 1.80817
0.371592 -4.66717e-05 -5.75327e-06 -8.66897e-23 -2.08979 1.84355
0.368117 -4.72071e-05 -5.84048e-06 -2.74878e-21 -2.11264 1.8496
0.364668 -4.75561e-05 -6.00947e-06 -6.13461e-38 -2.13859 1.84811
0.361237 -4.81119e-05 -6.17779e-06 -5.64324e-21 -2.16592 1.85056
0.35783 -4.89498e-05 -6.35829e-06 2.7964e-21 -2.19567 1.85829
0.354446 -5.11053e-05 -6.16769e-06 8.88875e-23 -2.2271 1.89031
0.35108 -5.25603e-05 -5.99315e-06 -4.4577e-23 -2.2464 1.91805
0.347737 -5.26031e-05 -6.2347e-06 2.87744e-21 -2.27261 1.91103
0.344419 -5.31296e-05 -6.38843e-06 -4.51875e-23 -2.29992 1.91261
0.341117 -5.37288e-05 -6.61175e-06 9.0737e-23 -2.32956 1.91557
0.337839 -5.53239e-05 -6.64249e-06 -2.96643e-21 -2.36284 1.93543
0.334585 -5.79405e-05 -6.27636e-06 1.46033e-21 -2.39075 1.97728
0.331346 -5.90708e-05 -6.16002e-06 1.41925e-21 -2.40915 1.99786
0.328131 -5.89482e-05 -6.42103e-06 1.52513e-21 -2.43506 1.98855
0.32494 -5.93099e-05 -6.61275e-06 1.5329e-21 -2.46266 1.98733
0.321764 -5.98172e-05 -6.90109e-06 1.44617e-21 -2.49391 1.98871
0.318612 -6.23954e-05 -6.71295e-06 1.49802e-21 -2.53079 2.02286
0.315483 -6.57577e-05 -6.0494e-06 -4.67667e-23 -2.55226 2.07957
0.312369 -6.64643e-05 -5.96586e-06 4.6918e-23 -2.5662 2.09394
0.309278 -6.5949e-05 -6.25063e-06 -4.73837e-23 -2.58922 2.07937
0.30621 -6.60256e-05 -6.45071e-06 1.52555e-21 -2.61435 2.07409
0.303158 -6.63206e-05 -6.74159e-06 9.58129e-23 -2.64386 2.07243
0.300128 -6.92101e-05 -6.44264e-06 1.53621e-21 -2.67989 2.10966
0.297121 -7.29353e-05 -5.60231e-06 -1.58297e-21 -2.69637 2.17095
0.29413 -7.34773e-05 -5.48509e-06 1.5399e-21 -2.70448 2.18383
0.291159 -7.26329e-05 -5.76778e-06 -8.60958e-42 -2.72299 2.16566
0.288211 -7.25408e-05 -5.90172e-06 1.56597e-21 -2.74328 2.15862
0.285281 -7.26204e-05 -6.09142e-06 -4.0775e-38 -2.76671 2.15424
0.282371 -7.41993e-05 -5.9894e-06 -1.5312e-21 -2.7946 2.17157
0.279482 -7.68762e-05 -5.45249e-06 -4.95197e-23 -2.81394 2.20999
0.276613 -7.76552e-05 -5.28863e-06 4.96966e-23 -2.82272 2.22407
0.27376 -7.69862e-05 -5.51768e-06 -4.95756e-27 -2.84049 2.20945
0.27093 -7.69907e-05 -5.5924e-06 -5.05062e-23 -2.85932 2.20443
0.268121 -7.70789e-05 -5.69835e-06 1.27824e-38 -2.8799 2.20066
0.265328 -7.74666e-05 -5.77509e-06 2.55226e-23 -2.90262 2.20116
0.262556 -7.86286e-05 -5.65302e-06 -2.56817e-23 -2.92624 2.21297
0.259805 -7.93155e-05 -5.59592e-06 -8.00335e-22 -2.94357 2.2212
0.257072 -7.91231e-05 -5.76594e-06 -2.59694e-23 -2.96628 2.21378
0.254357 -7.92418e-05 -5.87983e-06 8.36544e-22 -2.99049 2.21071
0.251663 -7.92728e-05 -6.07122e-06 1.2857e-39 -3.01709 2.20652
0.24899 -7.9471e-05 -6.30322e-06 -8.74463e-22 -3.04813 2.2048
0.246333 -8.22196e-05 -5.94663e-06 8.74052e-22 -3.08543 2.23736
0.243695 -8.45369e-05 -5.42642e-06 -1.6768e-21 -3.10142 2.27339
0.241078 -8.39142e-05 -5.6565e-06 -5.35411e-23 -3.12299 2.26449
0.238479 -8.29613e-05 -5.95517e-06 -8.3632e-22 -3.15238 2.24765
0.235897 -8.22729e-05 -6.3025e-06 -8.42959e-22 -3.18708 2.23445
0.233335 -8.18322e-05 -6.8073e-06 8.78716e-22 -3.23046 2.22483
0.230794 -8.53162e-05 -6.8727e-06 8.47565e-22 -3.28783 2.26763
0.228269 -9.80336e-05 -4.5431e-06 -2.67958e-23 -3.34089 2.43246
0.22576 -0.000102545 -2.5422e-06 -4.00834e-22 -3.29564 2.52787
0.223271 -9.50617e-05 -3.93773e-06 2.71468e-23 -3.31535 2.43165
0.220803 -9.25327e-05 -4.19373e-06 -2.75322e-23 -3.33806 2.39695
0.218351 -9.0288e-05 -4.80536e-06 2.78472e-23 -3.37176 2.3656
0.215915 -8.97786e-05 -5.59379e-06 -2.79821e-23 -3.42177 2.35723
0.2135 -0.000101649 -4.19498e-06 4.37736e-22 -3.5018 2.50516
0.211104 -0.000119839 7.64465e-07 1.13646e-39 -3.50417 2.75625
0.208725 -0.000120925 2.54273e-06 -2.38406e-22 -3.41769 2.81738
0.206362 -0.000109763 6.19667e-07 -8.10245e-23 -3.41532 2.6843
0.204018 -0.000104696 1.75291e-07 -4.63482e-40 -3.41979 2.62235
0.201694 -0.000100449 -6.39424e-07 0 -3.43739 2.56905
0.199388 -9.88526e-05 -1.66322e-06 2.06637e-46 -3.47697 2.54926
0.197098 -0.000117065 1.28529e-06 1.99075e-28 -3.56656 2.77561
0.194825 -0.000135799 7.8726e-06 -9.87733e-41 -3.50369 3.04582
0.192573 -0.000132138 8.62616e-06 1.60712e-38 -3.40293 3.04695
0.190342 -0.000120235 6.61507e-06 -8.63314e-22 -3.3798 2.90943
0.188127 -0.000114349 5.91998e-06 -9.36722e-39 -3.36019 2.84119
0.185929 -0.000108755 4.98595e-06 8.99446e-22 -3.35826 2.77415
0.183747 -0.000106218 4.2373e-06 -3.48975e-39 -3.3745 2.74514
0.181584 -0.00012001 6.93543e-06 2.74032e-23 -3.43304 2.92358
0.17944 -0.000135737 1.24095e-05 -2.67593e-23 -3.37884 3.15197
0.177317 -0.00013294 1.3283e-05 -8.82395e-22 -3.27548 3.1577
0.175211 -0.000121166 1.10413e-05 5.48119e-23 -3.24773 3.01965
0.173121 -0.000115232 1.02157e-05 -2.80539e-23 -3.22487 2.95095
0.171049 -0.00010996 9.18126e-06 9.44234e-22 -3.21684 2.88808
0.168995 -0.000107568 8.48696e-06 9.2248e-22 -3.22722 2.86193
0.166958 -0.000119342 9.93838e-06 -2.7728e-23 -3.2759 3.02199
0.164939 -0.000146315 1.82895e-05 -8.10635e-22 -3.28947 3.38021
0.162941 -0.000150058 2.25948e-05 1.66459e-26 -3.09321 3.4911
0.160964 -0.000130767 1.82806e-05 -2.68226e-23 -3.05216 3.26552
0.159003 -0.000123238 1.72754e-05 -2.93874e-39 -3.00506 3.18011
0.157059 -0.000116682 1.60338e-05 1.84534e-21 -2.97597 3.10295
0.155133 -0.000111614 1.50166e-05 -2.89425e-23 -2.95568 3.04312
0.153223 -0.000112543 1.51333e-05 -1.82966e-21 -2.95906 3.06487
0.151329 -0.000134497 2.07464e-05 -1.34677e-23 -3.01245 3.36512
0.149455 -0.000144223 2.65016e-05 1.33902e-23 -2.85483 3.5409
