# Force coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.03413075e-01
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e+00
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cs              	Cl              	CmRoll          	CmPitch         	CmYaw           	Cd(f)           	Cd(r)           	Cs(f)           	Cs(r)           	Cl(f)           	Cl(r)           
161             	5.02990026e-02	7.09610051e-18	-6.39008215e-01	3.19504108e-01	2.97812472e-01	2.51495013e-02	3.44653609e-01	-2.94354606e-01	2.51495013e-02	-2.51495013e-02	-2.16916354e-02	-6.17316580e-01
162             	5.02389068e-02	7.09616082e-18	-6.40025478e-01	3.20012739e-01	2.98045086e-01	2.51194534e-02	3.45132193e-01	-2.94893286e-01	2.51194534e-02	-2.51194534e-02	-2.19676529e-02	-6.18057826e-01
163             	5.01791100e-02	7.09602772e-18	-6.41014168e-01	3.20507084e-01	2.98253956e-01	2.50895550e-02	3.45596639e-01	-2.95417529e-01	2.50895550e-02	-2.50895550e-02	-2.22531283e-02	-6.18761040e-01
164             	5.01219178e-02	7.09562934e-18	-6.41987828e-01	3.20993914e-01	2.98452838e-01	2.50609589e-02	3.46054873e-01	-2.95932955e-01	2.50609589e-02	-2.50609589e-02	-2.25410765e-02	-6.19446752e-01
165             	5.00653919e-02	7.09485200e-18	-6.42938119e-01	3.21469059e-01	2.98643392e-01	2.50326959e-02	3.46501755e-01	-2.96436363e-01	2.50326959e-02	-2.50326959e-02	-2.28256672e-02	-6.20112452e-01
166             	5.00073863e-02	7.09357304e-18	-6.43858340e-01	3.21929170e-01	2.98822527e-01	2.50036931e-02	3.46932863e-01	-2.96925477e-01	2.50036931e-02	-2.50036931e-02	-2.31066428e-02	-6.20751697e-01
167             	4.99302247e-02	7.09170742e-18	-6.44626680e-01	3.22313340e-01	2.98932427e-01	2.49651124e-02	3.47278452e-01	-2.97348228e-01	2.49651124e-02	-2.49651124e-02	-2.33809125e-02	-6.21245768e-01
168             	4.98435362e-02	7.08890287e-18	-6.45297022e-01	3.22648511e-01	2.98984601e-01	2.49217681e-02	3.47570279e-01	-2.97726743e-01	2.49217681e-02	-2.49217681e-02	-2.36639103e-02	-6.21633112e-01
169             	4.97609615e-02	7.08484992e-18	-6.45961618e-01	3.22980809e-01	2.99033409e-01	2.48804807e-02	3.47861290e-01	-2.98100328e-01	2.48804807e-02	-2.48804807e-02	-2.39473997e-02	-6.22014218e-01
170             	4.96818335e-02	7.07926268e-18	-6.46614655e-01	3.23307328e-01	2.99076482e-01	2.48409168e-02	3.48148244e-01	-2.98466411e-01	2.48409168e-02	-2.48409168e-02	-2.42308457e-02	-6.22383809e-01
171             	4.95993631e-02	7.07200192e-18	-6.47208756e-01	3.23604378e-01	2.99088132e-01	2.47996815e-02	3.48404060e-01	-2.98804697e-01	2.47996815e-02	-2.47996815e-02	-2.45162460e-02	-6.22692510e-01
172             	4.95145075e-02	7.06290293e-18	-6.47733196e-01	3.23866598e-01	2.99067228e-01	2.47572537e-02	3.48623852e-01	-2.99109344e-01	2.47572537e-02	-2.47572537e-02	-2.47993697e-02	-6.22933826e-01
